web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1588621691-653","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Low water pressure","Reviewed in the United States on March 27, 2020","I ended up returning this. There is a noticeable drop in pressure when using this timer and not. Enough that my sprinkle misses half the area it did before. This is after removing the wire mesh screen. I was using another brand before it stopped working that didn't have this issue.

As others stated it is also harder to program vs other models I tried. Not impossible. Just took extra effort.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1588621694-669","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Julie","Easy to use, very straightforward","Reviewed in the United States on July 30, 2019","This timer is super easy to set up. It has the ability to have all 4 valves start, stop, duration, frequency of watering independent from each other. It also has a manual mode so if you wanted to water right now, you don't have to change any programmed settings. I would reccomend having a pressure control valve on each port to adjust the pressure going to each hose.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1588621700-697","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Raaj","Slightly pricey but good overall product","Reviewed in the United States on December 28, 2019","Works well, exactly as expected. A tad pricey and I do wish that the screen was back lit, but nevertheless a good product.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1588621698-688","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Joe Chesnas","Awesome","Reviewed in the United States on October 13, 2019","Really cool to be able to program 4 zones","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1588621705-719","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","George Baldwin","Power kept shutting off after 2 weeks","Reviewed in the United States on June 18, 2019","Easy to use and read.

The product however is not high quality. It stopped working after 2 weeks.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1588621689-645","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","C","Unreliable - Changing to 1 star","Reviewed in the United States on April 12, 2020","FIRST - I just found out the unit Amazon sent IS NOT the model I ordered. I ordered 65038-AMZ and was sent 73280-19G. They look identical, but apparently the one I was sent just sucks.

Even in testing my sprinkler set up, I've found this thing to be terribly unreliable. Hit manual, chose my zone, set a time... I could hear a click and the little facuet icon would show, but no water would flow. Other times it would work just fine. Once it sprayed water out of an outlet I wasn't even using before switching to the one I had selected a few seconds later.

A few days later - I can't get anything to turn on. I've taken out the batteries. Tried to reset things. NO WATER WILL FLOW. And yes, I checked to make sure the hose bib was on. :)

Melnor is behind on email responses and you can't get help for warranty issues over the phone. The woman I spoke with on the phone was quite nice, though.","1.0 out of 5 stars","",""
"1588621691-656","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Charles K. Mobley","A little difficult to setup, but well worth the struggle.","Reviewed in the United States on July 1, 2019","It takes a little time to understand how to setup the watering schedule, but once you do, it works really well. I read about the problems with the valves and how to fix the problem in reviews before I started. I made sure to go through the fix with my timer before using it for the first time. I have not had a problem.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1588621694-665","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Chandler","Stuck valve issue","Reviewed in the United States on September 28, 2019","I have the newer model  Melnor 65038-AMZ . There was one  valve when stuck open I first installed it. The directions indicated this might happen and the issue was corrected by resetting the valve manually as described in the instructions. So far with one month of daily use there have been no problems.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1588621691-660","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Niki","Overall, I would buy it again","Reviewed in the United States on January 27, 2020","Only reason this isn't 5 stars across the board is because it's not very intuitive. Granted, it can be figured out without reading the manual but it is indeed challenging. That being said, it IS  a 4 station timer and is very affordable. 4-1/2 stars","4.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1588621702-706","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Very dependable","Reviewed in the United States on October 30, 2019","Best one on the market worth every penny","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1588621689-642","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","JB","Not reliable, Avoid","Reviewed in the United States on July 4, 2019","I bought this item solely because I needed a hose timer with 3 valves.  The fourth was a bonus and the price was fine.  The problem is that the unit does not reliably open the valves.  It gets to the time of execution, I can hear a click but not the loud click of the valve opening.  The time counts down but no water is flowing.  The biggest issue is that you don't realize the valves are not opening until whatever you were watering dies.  It is also very consistent, once a valve stops opening that same valve will never open again using the timer.  I returned the first unit because channel 3 would not open but on the replacement unit channels 2 and 3 do not open.

Most confusing of all is that when I set it to manually open they work fine but when the timer tries to execute the valves do not open.  It is very unreliable.  I ended up going back to my 2 year old Rain Bird which only has 2 channels.

Finally, the newer model is not new.  65038 is just the previous model with 5 useless washers included.  In fact the unit has the old model number on the back but the package shows the new number.","1.0 out of 5 stars","",""
"1588621707-722","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gabriel Teixeira","Works great","Reviewed in the United States on August 23, 2019","Works well","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1588621689-643","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Dan Abrams","Update on June 8, 2019 to Sensor didn't work","Reviewed in the United States on June 5, 2019","After hours of research, I discovered today that the moisture sensor (15339) does indeed work, and that the 4-zone Melnor timer (73280) that I purchased separately also works.  However, the timer seems to be programmed to skip a watering cycle based upon a wet sensor for ONLY Zone 1.  Water continues to flow for the other three zones despite how wet the sensor gets.  This fact is not addressed in any of the Melnor advertising or instruction manuals for either the timer or the sensor.  Customer support at Melnor also was not aware of this.  Perhaps there might be a way to program the timer to respond to signals from the sensor to control flow to Zones, 2, 3 and 4, but that remains a mystery.","1.0 out of 5 stars","",""
"1588621698-683","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ramona Smith","Works great.","Reviewed in the United States on September 23, 2019","Easy to set up and use. Does the job. Love that it has 4 channels for the price","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1588621696-676","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Linda B.","Ability to time 4 different hoses for 4 different days and times!","Reviewed in the United States on September 1, 2019","This item is great!  You can hook up 4 different hoses to it and time each hose for different times to water!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1588621707-721","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jonna","Easy to setup","Reviewed in the United States on July 2, 2019","Great product, easy to use.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1588621700-696","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Janet Hirshberg","My plants get watered on schedule!","Reviewed in the United States on August 13, 2019","Getting at the zones to change the program can be confusing but all in all it does the job. You need to be careful to use heavy duty hoses otherwise the hose will compress.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1588621689-649","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Naomi Dyer","Buy it. You won’t regret it","Reviewed in the United States on August 25, 2019","I know I’m  a grownup when my favorite purchase is a water timer. I have an older version for my backyard and the newer one(this one) for my front and they just keep getting better. The old one is difficult because the hoses are too close together but this one they have separated the hoses and it’s way easier, also the timer is built in which makes it easier to attach to a faucet. I recommend getting this if your sick of moving hoses all the live long day.","5.0 out of 5 stars","",""
"1588621707-724","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","William","Last for a few months","Reviewed in the United States on October 18, 2019","Had this for about six months and the product stopped worked. I'm thinking possible water intrusion because it keeps trying to come on but it won't.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1588621702-704","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jeffrey A Joines","Doesn't work.","Reviewed in the United States on April 25, 2020","Worked for one day. After that, zones were hit or miss to come on. It sounds like it wants to open, but the valves just stay closed. This is a piece of junk, don't buy it.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1588621698-690","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jeffrey V. Bialik","Does Not Work","Reviewed in the United States on November 2, 2019","This was the second time I have purchased a Melnor product, and the second time the product has simply stopped working after a couple months. The result this time was dead plants while I was out of the country. Evidently the valves stick and don’t open, even on the manual setting.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1588621694-663","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Betty Herrin","very easy to set up and works perfect","Reviewed in the United States on May 16, 2019","I like the 4 zones and the ease of programming  and the ability to change to manual if needed.  It works exactely as it is advertised.  I have been using another brand and they did not work as well. I hope it continues to work well I will write another review at the end of the season.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1588621696-679","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nadim Aziz","Great value","Reviewed in the United States on March 31, 2020","Same functionality as one sold by major hardware stores at a significantly better price point. Good quality, easy to setup. Will see how it holds up over time.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1588621689-647","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","John Hughes","If it works, it's great. If not ...","Reviewed in the United States on September 4, 2019","The first one of these I purchased had a valve stuck in the open position. No matter how many times I tried manually starting and stopping, nothing closed that valve. The replacement unit worked out of the box. When I first added the batteries to the second unit, I could hear each valve close.  If you have worked with sprinkler scheduling computers before you'll find this scheduling system easy enough to figure out. Otherwise, the manual is easy to figure out.","3.0 out of 5 stars","",""
"1588621698-685","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mark R.","Works Great","Reviewed in the United States on August 25, 2019","I haven't had any issues. Easy to program and works like a charm.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1588621694-670","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Michael Whisler","Works as described","Reviewed in the United States on August 23, 2019","Works pretty good I just wish there was a button to pick a zone and turn on without setting amount of time. Also would be nice to open multiple zones at the same time.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1588621691-655","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gregg","Absolutely Love It!","Reviewed in the United States on July 30, 2019","I was hesitant too purchase based on some of the negative reviews, but I'm glad I bought it. Easy to use once you understand it, all four zones work beautifully, there is no ""hammer"" noise on water shut off. Just another great Melnor product, it works so good that I bought the two zone for the other side of my house.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
